Loading,SSA,DP,TPV,D_M,PE_M,FIE_M,MR_M,EA_M,WF_M,AN_M,BM_M,MP_M,MP_S,Temp,Time,C_wt,P,SV,conver,selec
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,9,12.44,95,75
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,1.013,3.11,50,83
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,1.013,6.22,70,80
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,1.013,12.44,85,78
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,5,3.11,60,80
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,5,6.22,80,78
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,5,12.44,95,75
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,9,3.11,70,78
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,9,6.22,90,75
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,2010,9,12.44,98,72
